Duplicate.1,Duplicate.2,Duplicate.1_Methylation,Duplicate.2_Methylation,Duplication,Similarity,Classification,Ka,Ks,Ka.Ks,P.Value
gene:BVRB_000240,gene:BVRB_5g104150,gbM,unM,wgd,Different,gbM-unM,0.631946,4.18341,0.15106,8.41115e-30
gene:BVRB_1g002220,gene:BVRB_5g104200,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.48353,3.59598,0.134464,4.92809e-18
gene:BVRB_1g002260,gene:BVRB_5g104150,unM,unM,wgd,Same,unM-unM,0.415008,4.27192,0.0971479,2.50536e-52
gene:BVRB_1g002720,gene:BVRB_3g051500,gbM,gbM,wgd,Same,gbM-gbM,0.425239,4.60943,0.0922541,1.60968e-77
gene:BVRB_1g002800,gene:BVRB_3g051520,unM,unM,wgd,Same,unM-unM,0.44595,2.76381,0.161353,1.6053e-07
gene:BVRB_1g002860,gene:BVRB_3g051740,unM,unM,wgd,Same,unM-unM,0.720705,2.47396,0.291317,1.55082e-09
gene:BVRB_1g003000,gene:BVRB_3g051920,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.0785828,4.01349,0.0195797,1.44085e-102
gene:BVRB_1g003160,gene:BVRB_3g052260,gbM,unM,wgd,Different,gbM-unM,0.579499,3.96562,0.146131,0
gene:BVRB_1g003300,gene:BVRB_3g052390,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.478011,4.93058,0.0969482,2.76905e-140
gene:BVRB_1g003460,gene:BVRB_5g099220,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.318159,4.22347,0.0753312,4.97148e-55
gene:BVRB_1g003470,gene:BVRB_5g099230,gbM,gbM,wgd,Same,gbM-gbM,0.655687,4.5788,0.143201,1.85495e-58
gene:BVRB_1g003500,gene:BVRB_5g099290,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.0807702,1.96848,0.0410317,2.27562e-89
gene:BVRB_1g003520,gene:BVRB_5g099340,gbM,gbM,wgd,Same,gbM-gbM,0.468062,4.79801,0.0975533,1.84093e-74
gene:BVRB_1g003570,gene:BVRB_3g052580,unM,unM,wgd,Same,unM-unM,0.528183,3.97797,0.132777,5.92947e-33
gene:BVRB_1g003640,gene:BVRB_3g052640,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.419575,5.29816,0.0791926,1.01189e-22
gene:BVRB_1g003730,gene:BVRB_5g099580,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.504654,4.46105,0.113124,2.24323e-78
gene:BVRB_1g003910,gene:BVRB_5g099710,unM,unM,wgd,Same,unM-unM,0.194298,3.86453,0.0502773,2.84113e-55
gene:BVRB_1g004210,gene:BVRB_5g100100,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.349802,4.36105,0.0802105,5.98851e-59
gene:BVRB_1g004250,gene:BVRB_5g100240,unM,unM,wgd,Same,unM-unM,0.510254,3.57721,0.14264,2.99124e-16
gene:BVRB_1g009290,gene:BVRB_6g135170,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.229189,2.86458,0.0800079,2.80147e-42
gene:BVRB_1g009360,gene:BVRB_6g135210,unM,unM,wgd,Same,unM-unM,0.277315,4.03813,0.0686741,1.52731e-57
gene:BVRB_1g010760,gene:BVRB_6g132920,teM,Unclassified,wgd,Undetermined,teM-Unclassified,0.633098,3.5018,0.180792,1.79542e-11
gene:BVRB_1g018800,gene:BVRB_3g055940,gbM,teM,wgd,Different,gbM-teM,0.465958,4.32724,0.10768,8.85517e-49
gene:BVRB_1g019230,gene:BVRB_3g055600,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.443755,4.07442,0.108912,1.07293e-35
gene:BVRB_1g019230,gene:BVRB_5g101830,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.387477,4.09216,0.0946878,1.5013e-34
gene:BVRB_1g019570,gene:BVRB_5g101580,teM,Unclassified,wgd,Undetermined,teM-Unclassified,0.489356,4.00988,0.122038,1.29676e-32
gene:BVRB_2g023550,gene:BVRB_7g171840,gbM,gbM,wgd,Same,gbM-gbM,0.0453285,5.24789,0.00863746,0
gene:BVRB_2g023660,gene:BVRB_7g171990,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.414325,4.40699,0.0940153,4.46726e-78
gene:BVRB_2g023680,gene:BVRB_7g172010,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.567544,4.85689,0.116853,2.63568e-76
gene:BVRB_2g023720,gene:BVRB_7g172030,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.401849,4.61379,0.0870973,1.6202e-107
gene:BVRB_2g023740,gene:BVRB_7g172040,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.2964,4.38295,0.0676257,1.81926e-90
gene:BVRB_2g023980,gene:BVRB_7g172370,unM,unM,wgd,Same,unM-unM,0.208528,2.57044,0.0811252,1.14355e-21
gene:BVRB_2g024050,gene:BVRB_7g172470,unM,unM,wgd,Same,unM-unM,0.528886,4.16896,0.126863,7.06495e-30
gene:BVRB_2g024660,gene:BVRB_7g173970,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.0142653,2.19997,0.00648433,2.48317e-107
gene:BVRB_2g024780,gene:BVRB_7g173820,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.12587,3.91144,0.03218,2.13568e-61
gene:BVRB_2g024880,gene:BVRB_7g173780,gbM,gbM,wgd,Same,gbM-gbM,0.49159,4.47498,0.109853,3.23031e-53
gene:BVRB_2g024960,gene:BVRB_7g173700,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.452655,4.56317,0.0991975,3.98473e-70
gene:BVRB_2g024970,gene:BVRB_7g173610,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.501296,4.46952,0.112159,1.84582e-68
gene:BVRB_2g025130,gene:BVRB_7g173520,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.193117,4.46352,0.0432655,1.20989e-139
gene:BVRB_2g025160,gene:BVRB_7g173500,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.173621,3.76441,0.0461216,1.39568e-50
gene:BVRB_2g025210,gene:BVRB_7g173470,unM,unM,wgd,Same,unM-unM,0.495336,3.73293,0.132694,1.00997e-20
