Duplicate.1,Duplicate.2,Duplicate.1_Methylation,Duplicate.2_Methylation,Duplication,Similarity,Classification,Ka,Ks,Ka.Ks,P.Value
Medtr1g004990,Medtr3g110180,gbM,gbM,wgd,Same,gbM-gbM,0.227802,2.05715,0.110737,5.78395e-25
Medtr1g006600,Medtr3g110198,gbM,gbM,wgd,Same,gbM-gbM,0.183454,1.42554,0.128691,1.75965e-63
Medtr1g006695,Medtr3g109650,gbM,gbM,wgd,Same,gbM-gbM,0.211784,1.61336,0.131269,5.40387e-35
Medtr1g007150,Medtr3g110240,gbM,gbM,wgd,Same,gbM-gbM,0.11628,1.33463,0.0871249,5.15626e-70
Medtr1g007160,Medtr3g110340,gbM,gbM,wgd,Same,gbM-gbM,0.222223,0.874901,0.253998,7.00903e-24
Medtr1g007240,Medtr3g110420,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.203147,1.60095,0.126892,9.50058e-37
Medtr1g007360,Medtr3g110390,gbM,unM,wgd,Different,gbM-unM,0.25286,0.767542,0.329442,4.3473e-05
Medtr1g007380,Medtr3g110660,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.0899939,1.47068,0.061192,5.46624e-87
Medtr1g007420,Medtr3g110690,gbM,gbM,wgd,Same,gbM-gbM,0.152736,0.62267,0.245292,6.26704e-32
Medtr1g007740,Medtr3g491920,gbM,gbM,wgd,Same,gbM-gbM,0.221134,1.03227,0.214221,2.40916e-37
Medtr1g007840,Medtr3g091770,gbM,gbM,wgd,Same,gbM-gbM,0.308983,1.62282,0.190399,1.09593e-20
Medtr1g007880,Medtr3g091760,gbM,gbM,wgd,Same,gbM-gbM,0.142347,0.792402,0.17964,1.4961e-19
Medtr1g007905,Medtr3g091680,unM,unM,wgd,Same,unM-unM,0.251802,1.1352,0.221813,2.22293e-12
Medtr1g007920,Medtr3g091560,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.242687,0.973323,0.249339,6.07904e-23
Medtr1g008120,Medtr3g091510,gbM,gbM,wgd,Same,gbM-gbM,0.0401218,1.33373,0.0300824,2.24382e-56
Medtr1g008220,Medtr3g091340,gbM,gbM,wgd,Same,gbM-gbM,0.144495,0.795531,0.181633,9.97576e-20
Medtr1g008230,Medtr3g091310,gbM,gbM,wgd,Same,gbM-gbM,0.16659,0.875248,0.190334,4.88624e-63
Medtr1g008280,Medtr3g109932,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.0512123,0.953469,0.0537116,3.80025e-43
Medtr1g008380,Medtr3g109520,gbM,unM,wgd,Different,gbM-unM,0.133001,1.21426,0.109532,1.26575e-49
Medtr1g008450,Medtr3g109490,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.365532,2.21502,0.165024,2.14376e-19
Medtr1g008700,Medtr3g109420,unM,unM,wgd,Same,unM-unM,0.106842,2.12649,0.0502433,2.04576e-30
Medtr1g008740,Medtr3g109340,unM,unM,wgd,Same,unM-unM,0.243359,2.16862,0.112218,1.25146e-21
Medtr1g008990,Medtr3g109310,teM,Unclassified,wgd,Undetermined,teM-Unclassified,0.212749,1.71563,0.124007,2.01739e-21
Medtr1g009010,Medtr3g109300,gbM,gbM,wgd,Same,gbM-gbM,0.0358417,0.960055,0.037333,2.79943e-61
Medtr1g009030,Medtr3g109280,unM,unM,wgd,Same,unM-unM,0.0731745,1.99072,0.0367578,3.99783e-54
Medtr1g009210,Medtr3g109250,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.129375,1.3796,0.0937772,2.74649e-31
Medtr1g009310,Medtr3g109100,gbM,gbM,wgd,Same,gbM-gbM,0.195046,1.19709,0.162933,3.85683e-55
Medtr1g009640,Medtr3g108910,unM,unM,wgd,Same,unM-unM,0.204224,1.22451,0.16678,4.90722e-18
Medtr1g009680,Medtr3g108808,gbM,gbM,wgd,Same,gbM-gbM,0.258143,1.28178,0.201394,1.22562e-26
Medtr1g009720,Medtr3g108800,gbM,gbM,wgd,Same,gbM-gbM,0.0735716,1.28978,0.057042,7.60522e-139
Medtr1g009960,Medtr3g108740,gbM,gbM,wgd,Same,gbM-gbM,0.182994,1.90481,0.096069,2.22813e-36
Medtr1g010010,Medtr3g108690,gbM,gbM,wgd,Same,gbM-gbM,0.254192,0.993921,0.255747,1.8958e-20
Medtr1g010040,Medtr3g108660,gbM,gbM,wgd,Same,gbM-gbM,0.133881,0.738474,0.181295,1.90616e-64
Medtr1g010110,Medtr3g108630,teM,Unclassified,wgd,Undetermined,teM-Unclassified,0.240591,1.06405,0.226109,6.22487e-14
Medtr1g010120,Medtr3g108600,gbM,gbM,wgd,Same,gbM-gbM,0.146611,1.53246,0.0956707,6.62502e-69
